"names"
"Amblyomma cajennense"
"Aphelocoma coerulescens"
"Nauphoeta cinerea"
"Periplaneta americana"
"Callosobruchus maculatus"
"Chrysomya megacephala"
"Cochliomyia hominivorax"
"Lucilia cuprina"
"Musca domestica"
"Episyrphus balteatus"
"Ovis aries"
"Pan troglodytes"
"Symphalangus syndactylus"
"Drosophila mojavensis"
"Drosophila mulleri"
"Drosophila montana"
"Drosophila virilis"
"Drosophila kikkawai"
"Drosophila erecta"
"Drosophila yakuba"
"Drosophila sechellia"
"Drosophila simulans"
"Drosophila melanogaster"
"Drosophila bipectinata"
"Drosophila ananassae"
